,bearish,bullish,date,title,enddate,yqdopen,yqdclose6m,yqdclose30d,yqdclose7d
20,"['KORS', 'GT', 'CEQP', 'RIG', 'DDD', 'HPQ', 'FDX', 'MU', 'WDC', 'TOSBF']","['XPO', 'SIRI', 'CLDR', 'P', 'VMW']",20170616,Michael Kors Is A Loser - Cramer's Lightning Round (6/15/17),20171216,"[['2017-06-16', '61.520000'], ['2017-06-16', '5.170750'], ['2017-06-16', '17.400000'], ['2017-06-16', '6.990000'], ['2017-06-16', '88.099998']]","[['2017-10-20', '67.320000'], ['2017-10-20', '5.760000'], ['2017-10-20', '16.250000'], ['2017-10-20', '7.470000'], ['2017-10-20', '118.279999']]","[['2017-07-21', '60.669998'], ['2017-07-21', '5.460232'], ['2017-07-21', '18.250000'], ['2017-07-21', '9.470000'], ['2017-07-21', '92.269997']]","[['2017-06-26', '61.160000'], ['2017-06-26', '5.290536'], ['2017-06-26', '16.230000'], ['2017-06-26', '8.460000'], ['2017-06-26', '90.660004']]"
21,"['XYL', 'PNR', 'MELI']","['HFC', 'QCOM', 'DPZ', 'INCY', 'NXPI']",20170614,Don't Sell Domino's - Cramer's Lightning Round (6/13/17),20171214,"[['2017-06-14', '24.928991'], ['2017-06-14', '56.385441'], ['2017-06-14', '210.046295'], ['2017-06-14', '120.089996'], ['2017-06-14', '109.269997']]","[['2017-10-20', '36.615002'], ['2017-10-20', '52.035000'], ['2017-10-20', '186.229996'], ['2017-10-20', '114.000000'], ['2017-10-20', '115.839996']]","[['2017-07-19', '27.409046'], ['2017-07-19', '56.157963'], ['2017-07-19', '212.001526'], ['2017-07-19', '130.449997'], ['2017-07-19', '109.599998']]","[['2017-06-22', '26.312288'], ['2017-06-22', '55.851360'], ['2017-06-22', '217.557922'], ['2017-06-22', '135.630005'], ['2017-06-22', '109.500000']]"
22,['CC'],"['ESNT', 'MGP', 'CARA', 'SCHW']",20170613,Charles Schwab Will Go Up With Higher Interest Rates - Cramer's Lightning Round (6/12/17),20171213,"[['2017-06-13', '37.169998'], ['2017-06-13', '27.972130'], ['2017-06-13', '17.440001'], ['2017-06-13', '41.971252']]","[['2017-10-20', '44.619999'], ['2017-10-20', '29.219999'], ['2017-10-20', '12.336800'], ['2017-10-20', '44.615002']]","[['2017-07-18', '39.070000'], ['2017-07-18', '28.163158'], ['2017-07-18', '15.150000'], ['2017-07-18', '42.779739']]","[['2017-06-21', '36.230000'], ['2017-06-21', '28.390932'], ['2017-06-21', '19.500000'], ['2017-06-21', '41.671818']]"
23,"['MZOR', 'TSE', 'AXTA', 'IGT']","['NDAQ', 'TIF', 'DIS', 'SKX']",20170612,Skechers Is Inexpensive - Cramer's Lightning Round (6/9/17),20171212,"[['2017-06-12', '69.669762'], ['2017-06-12', '92.110703'], ['2017-06-12', '106.249588'], ['2017-06-12', '27.290001']]","[['2017-10-20', '72.940002'], ['2017-10-20', '94.419998'], ['2017-10-20', '99.275002'], ['2017-10-20', '33.815399']]","[['2017-07-17', '71.126526'], ['2017-07-17', '91.644974'], ['2017-07-17', '104.790001'], ['2017-07-17', '28.670000']]","[['2017-06-20', '69.912727'], ['2017-06-20', '91.764297'], ['2017-06-20', '103.172485'], ['2017-06-20', '26.350000']]"
24,['NOK'],"['VVV', 'BUD', 'DAR', 'STZ', 'ADI', 'GD', 'TAP', 'HII']",20170609,The Move In BlackBerry Is Done - Cramer's Lightning Round (6/8/17),20171209,"[['2017-06-09', '23.096745'], ['2017-06-09', '113.500000'], ['2017-06-09', '15.860000'], ['2017-06-09', '180.514389'], ['2017-06-09', '78.171326'], ['2017-06-09', '197.841156'], ['2017-06-09', '86.999580'], ['2017-06-09', '192.911179']]","[['2017-10-20', '24.010000'], ['2017-10-20', '125.529999'], ['2017-10-20', '17.580000'], ['2017-10-20', '211.649994'], ['2017-10-20', '88.959999'], ['2017-10-20', '213.339996'], ['2017-10-20', '83.059998'], ['2017-10-20', '235.339996']]","[['2017-07-14', '22.827366'], ['2017-07-14', '114.290001'], ['2017-07-14', '16.629999'], ['2017-07-14', '197.787933'], ['2017-07-14', '81.105240'], ['2017-07-14', '200.350342'], ['2017-07-14', '87.487328'], ['2017-07-14', '197.577667']]","[['2017-06-19', '23.505800'], ['2017-06-19', '114.150002'], ['2017-06-19', '16.290001'], ['2017-06-19', '182.788269'], ['2017-06-19', '79.931671'], ['2017-06-19', '202.849930'], ['2017-06-19', '86.183334'], ['2017-06-19', '186.619415']]"
25,"['XRX', 'HUN']","['ALR', 'ABT', 'XLNX']",20170608,Xerox Has No Positive Catalysts - Cramer's Lightning Round (6/7/17),20171208,"[['2017-06-08', '46.236702'], ['2017-06-08', '67.696747']]","[['2017-10-20', '56.384998'], ['2017-10-20', '72.214996']]","[['2017-07-13', '47.845963'], ['2017-07-13', '67.477951']]","[['2017-06-16', '47.711285'], ['2017-06-16', '64.385010']]"
26,"['TDOC', 'SRPT', 'NBR', 'PPC', 'TSN', 'ETP', 'WATT', 'PBYI']","['SIRI', 'SHOP']",20170607,Teladoc Is Heavily Shorted - Cramer's Lightning Round (6/6/17),20171207,"[['2017-06-07', '5.310500'], ['2017-06-07', '96.989998']]","[['2017-10-20', '5.755000'], ['2017-10-20', '101.800003']]","[['2017-07-12', '5.400339'], ['2017-07-12', '94.680000']]","[['2017-06-15', '5.170750'], ['2017-06-15', '85.480003']]"
27,"['WIN', 'FANG', 'RDUS', 'GILD']","['MU', 'CRL', 'AMD']",20170605,Charles River Laboratories Is A Good Buy - Cramer's Lightning Round (6/2/17),20171205,"[['2017-06-05', '31.209999'], ['2017-06-05', '93.610001'], ['2017-06-05', '11.240000']]","[['2017-10-20', '41.735001'], ['2017-10-20', '115.135002'], ['2017-10-20', '13.875000']]","[['2017-07-10', '30.500000'], ['2017-07-10', '99.250000'], ['2017-07-10', '13.810000']]","[['2017-06-13', '31.540001'], ['2017-06-13', '94.139999'], ['2017-06-13', '11.960000']]"
28,"['LITE', 'MOMO', 'BABA', 'MB', 'GWPH']","['LRCX', 'AMAT']",20170601,Yahoo Is Worth More In Parts - Cramer's Lightning Round (5/31/17),20171201,"[['2017-06-01', '155.583496'], ['2017-06-01', '45.893787']]","[['2017-10-20', '204.923203'], ['2017-10-20', '55.830002']]","[['2017-07-06', '143.509018'], ['2017-07-06', '42.012772']]","[['2017-06-09', '157.362244'], ['2017-06-09', '44.636700']]"
29,"['KR', 'CBI', 'DDD', 'ARNC', 'CWH', 'DY']","['TWTR', 'SQ']",20170531,Square Has A Good Product - Cramer's Lightning Round (5/30/17),20171130,"[['2017-05-31', '18.320000'], ['2017-05-31', '22.990000']]","[['2017-10-20', '17.940001'], ['2017-10-20', '32.570000']]","[['2017-07-05', '17.820000'], ['2017-07-05', '23.760000']]","[['2017-06-08', '17.590000'], ['2017-06-08', '24.780001']]"
