,bearish,bullish,date,title,enddate,yqdopen,yqdclose6m,yqdclose30d,yqdclose7d
701,['BGCP'],"['KR', 'CSX', 'ETN', 'CP', 'CREE', 'IP']",20130501,Cramer's Lightning Round - Eaton Has The LED Lighting Story Down Cold (4/30/13),20131101,"[['2013-05-01', '15.962593'], ['2013-05-01', '21.738565'], ['2013-05-01', '51.387489'], ['2013-05-01', '117.170662'], ['2013-05-01', '54.259998'], ['2013-05-01', '38.818497']]","[['2013-11-01', '20.094322'], ['2013-11-01', '24.021294'], ['2013-11-01', '62.454788'], ['2013-11-01', '140.247589'], ['2013-11-01', '59.930000'], ['2013-11-01', '38.511864']]","[['2013-06-05', '15.483844'], ['2013-06-05', '22.004496'], ['2013-06-05', '55.954304'], ['2013-06-05', '116.748779'], ['2013-06-05', '60.119999'], ['2013-06-05', '37.727463']]","[['2013-05-09', '16.079279'], ['2013-05-09', '22.966837'], ['2013-05-09', '56.530602'], ['2013-05-09', '122.856628'], ['2013-05-09', '60.259998'], ['2013-05-09', '39.689789']]"
702,"['XOM', 'BZH', 'DDD', 'NAT', 'CAB']","['BA', 'TOL', 'EOG', 'CMG', 'DIS']",20130426,Cramer's Lightning Round - EOG Resources Is A Supermajor-To-Be (4/25/13),20131026,"[['2013-04-26', '82.611404'], ['2013-04-26', '34.478756'], ['2013-04-26', '57.743271'], ['2013-04-26', '361.730011'], ['2013-04-26', '58.301025']]","[['2013-10-25', '117.857925'], ['2013-10-25', '33.604115'], ['2013-10-25', '89.130554'], ['2013-10-25', '527.500000'], ['2013-10-25', '65.264732']]","[['2013-05-31', '88.554131'], ['2013-05-31', '33.961922'], ['2013-05-31', '62.581074'], ['2013-05-31', '361.000000'], ['2013-05-31', '59.441231']]","[['2013-05-06', '83.803642'], ['2013-05-06', '35.154613'], ['2013-05-06', '61.097748'], ['2013-05-06', '373.980011'], ['2013-05-06', '61.307011']]"
703,"['FIRE', 'ARR']","['PRI', 'INTC', 'NLY', 'WLT']",20130425,Cramer's Lightning Round - Buy Intel For Cybersecurity (4/24/13),20131025,"[['2013-04-25', '31.960091'], ['2013-04-25', '20.249512'], ['2013-04-25', '9.426153']]","[['2013-10-25', '41.640114'], ['2013-10-25', '21.399487'], ['2013-10-25', '7.777116']]","[['2013-05-30', '34.298592'], ['2013-05-30', '21.165899'], ['2013-05-30', '8.354727']]","[['2013-05-03', '32.775925'], ['2013-05-03', '20.947336'], ['2013-05-03', '9.101113']]"
704,"['VMW', 'BLK', 'SDT', 'JBLU', 'APA']","['VRTX', 'LCC']",20130424,Cramer's Lightning Round - EMC Is Controversial (4/23/13),20131024,"[['2013-04-24', '81.050003']]","[['2013-10-24', '76.910004']]","[['2013-05-29', '78.389999']]","[['2013-05-02', '77.720001']]"
705,"['ALLT', 'AMWD', 'CVC', 'CMI', 'CAT']","['HSY', 'CRM', 'CPB']",20130419,"Cramer's Lightning Round - Too Little For Allot, And Too Late (4/18/13)",20131019,"[['2013-04-19', '81.627190'], ['2013-04-19', '40.880001'], ['2013-04-19', '41.305763']]","[['2013-10-18', '87.589828'], ['2013-10-18', '54.099998'], ['2013-10-18', '37.502224']]","[['2013-05-23', '80.973083'], ['2013-05-23', '45.689999'], ['2013-05-23', '40.683426']]","[['2013-04-29', '79.586067'], ['2013-04-29', '41.009998'], ['2013-04-29', '41.234646']]"
706,"['PER', 'GNTX']","['TMHC', 'VPHM', 'AIG', 'STO', 'TRV', 'COL']",20130418,Cramer's Lightning Round - Travelers Will Travel To $100 (4/17/13),20131018,"[['2013-04-18', '23.170000'], ['2013-04-18', '25.020000'], ['2013-04-18', '35.943977'], ['2013-04-18', '18.558750'], ['2013-04-18', '75.789680'], ['2013-04-18', '55.768169']]","[['2013-10-18', '22.120001'], ['2013-10-18', '38.209999'], ['2013-10-18', '49.131435'], ['2013-10-18', '19.740097'], ['2013-10-18', '78.991562'], ['2013-10-18', '66.487289']]","[['2013-05-22', '26.150000'], ['2013-05-22', '26.100000'], ['2013-05-22', '41.540890'], ['2013-05-22', '19.138836'], ['2013-05-22', '75.492294'], ['2013-05-22', '61.883160']]","[['2013-04-26', '25.549999'], ['2013-04-26', '26.830000'], ['2013-04-26', '38.315865'], ['2013-04-26', '19.025330'], ['2013-04-26', '76.735931'], ['2013-04-26', '57.842651']]"
707,"['KKD', 'GFA']","['DNKN', 'TOL', 'IMGN', 'GNW', 'MDU', 'DLTR', 'EXEL', 'RDN', 'EWW']",20130417,Cramer's Lightning Round- Kicking Myself Over Toll Brothers (4/16/13),20131017,"[['2013-04-17', '34.361237'], ['2013-04-17', '31.367817'], ['2013-04-17', '14.920000'], ['2013-04-17', '9.300000'], ['2013-04-17', '20.584486'], ['2013-04-17', '47.369999'], ['2013-04-17', '4.840000'], ['2013-04-17', '10.122859'], ['2013-04-17', '66.344849']]","[['2013-10-17', '43.278015'], ['2013-10-17', '32.252396'], ['2013-10-17', '17.250000'], ['2013-10-17', '13.640000'], ['2013-10-17', '25.803612'], ['2013-10-17', '58.990002'], ['2013-10-17', '5.420000'], ['2013-10-17', '14.353945'], ['2013-10-17', '61.087124']]","[['2013-05-21', '37.514641'], ['2013-05-21', '35.790714'], ['2013-05-21', '17.200001'], ['2013-05-21', '10.780000'], ['2013-05-21', '23.303522'], ['2013-05-21', '49.380001'], ['2013-05-21', '4.610000'], ['2013-05-21', '13.679810'], ['2013-05-21', '63.341309']]","[['2013-04-25', '35.339882'], ['2013-04-25', '33.683624'], ['2013-04-25', '15.020000'], ['2013-04-25', '9.990000'], ['2013-04-25', '21.229385'], ['2013-04-25', '48.599998'], ['2013-04-25', '5.240000'], ['2013-04-25', '11.657230'], ['2013-04-25', '67.432014']]"
708,[],"['KCAP', 'CLR', 'NLY', 'USB', 'DEO', 'IAU', 'SRCL']",20130416,"Cramer's Lightning Round - U.S. Bancorp May Be Lower In 2 Days, But Will Be Higher In 2 Years (4/15/13)",20131016,"[['2013-04-16', '5.603898'], ['2013-04-16', '38.424999'], ['2013-04-16', '9.546541'], ['2013-04-16', '29.449083'], ['2013-04-16', '106.425453'], ['2013-04-16', '13.350000'], ['2013-04-16', '109.209999']]","[['2013-10-16', '4.846260'], ['2013-10-16', '58.480000'], ['2013-10-16', '7.508498'], ['2013-10-16', '33.945499'], ['2013-10-16', '110.591095'], ['2013-10-16', '12.430000'], ['2013-10-16', '118.889999']]","[['2013-05-20', '6.157097'], ['2013-05-20', '43.660000'], ['2013-05-20', '8.908500'], ['2013-05-20', '31.618158'], ['2013-05-20', '109.100388'], ['2013-05-20', '13.570000'], ['2013-05-20', '111.410004']]","[['2013-04-24', '5.803050'], ['2013-04-24', '39.195000'], ['2013-04-24', '9.432173'], ['2013-04-24', '29.836098'], ['2013-04-24', '106.645424'], ['2013-04-24', '13.910000'], ['2013-04-24', '109.010002']]"
709,"['TSM', 'SDT']","['RWX', 'VZ', 'OAS', 'VTR', 'IYR', 'GNC', 'HCN', 'OHI']",20130414,Cramer's Lightning Round - More People Have Bought Verizon Than Any Other Stock I've Recommended (4/12/13),20131014,"[['2013-04-15', '35.794437'], ['2013-04-15', '41.284687'], ['2013-04-15', '32.939999'], ['2013-04-15', '71.048744'], ['2013-04-15', '59.330605'], ['2013-04-15', '38.920528'], ['2013-04-15', '56.498585'], ['2013-04-15', '23.606129']]","[['2013-10-14', '35.471245'], ['2013-10-14', '38.986176'], ['2013-10-14', '54.290001'], ['2013-10-14', '60.203094'], ['2013-10-14', '55.683506'], ['2013-10-14', '50.726925'], ['2013-10-14', '52.077236'], ['2013-10-14', '24.717026']]","[['2013-05-17', '36.927677'], ['2013-05-17', '43.494038'], ['2013-05-17', '38.560001'], ['2013-05-17', '75.721649'], ['2013-05-17', '63.051880'], ['2013-05-17', '42.074020'], ['2013-05-17', '63.278286'], ['2013-05-17', '28.140026']]","[['2013-04-23', '36.547241'], ['2013-04-23', '42.654327'], ['2013-04-23', '33.549999'], ['2013-04-23', '73.607742'], ['2013-04-23', '60.663227'], ['2013-04-23', '38.920528'], ['2013-04-23', '59.061943'], ['2013-04-23', '24.711264']]"
710,"['PANL', 'VHC', 'CTCT', 'Z']","['RLGY', 'RF']",20130412,Cramer's Lightning Round - Get Realogy (4/11/13),20131012,"[['2013-04-12', '45.474533'], ['2013-04-12', '7.399977']]","[['2013-10-11', '43.024162'], ['2013-10-11', '8.806319']]","[['2013-05-16', '52.491055'], ['2013-05-16', '8.166433']]","[['2013-04-22', '46.990025'], ['2013-04-22', '7.053245']]"
711,"['GNRC', 'MOS', 'PSX', 'DDD']","['EMR', 'BGG', 'VLO', 'RRGB', 'FLS', 'SRE']",20130411,"Cramer's Lightning Round - Sell Phillips 66, Buy Valero (4/10/13)",20131011,"[['2013-04-11', '49.059906'], ['2013-04-11', '21.828703'], ['2013-04-11', '32.910130'], ['2013-04-11', '43.970001'], ['2013-04-11', '51.634907'], ['2013-04-11', '72.635132']]","[['2013-10-11', '57.367161'], ['2013-10-11', '18.323069'], ['2013-10-11', '32.235859'], ['2013-10-11', '72.699997'], ['2013-10-11', '59.509548'], ['2013-10-11', '78.278313']]","[['2013-05-15', '51.016563'], ['2013-05-15', '21.061222'], ['2013-05-15', '34.738407'], ['2013-05-15', '49.759998'], ['2013-05-15', '52.209526'], ['2013-05-15', '73.613235']]","[['2013-04-19', '46.314636'], ['2013-04-19', '18.571358'], ['2013-04-19', '31.298920'], ['2013-04-19', '44.779999'], ['2013-04-19', '47.989307'], ['2013-04-19', '72.740898']]"
712,"['SIRI', 'JCI']","['COH', 'EEP', 'ENB', 'NKE']",20130410,Cramer's Lightning Round - Don't Get Excited About Sirius (4/9/13),20131010,"[['2013-04-10', '44.016521'], ['2013-04-10', '20.606867'], ['2013-04-10', '39.047394'], ['2013-04-10', '28.391615']]","[['2013-10-10', '47.146637'], ['2013-10-10', '21.121454'], ['2013-10-10', '35.637493'], ['2013-10-10', '34.815338']]","[['2013-05-14', '50.798214'], ['2013-05-14', '20.974043'], ['2013-05-14', '40.117737'], ['2013-05-14', '31.038168']]","[['2013-04-18', '44.162640'], ['2013-04-18', '20.373402'], ['2013-04-18', '38.679749'], ['2013-04-18', '28.339811']]"
713,[],[],20130409,Cramer's Lightning Round - Seller's Remorse Over SunTrust (4/8/13),20131009,[],[],[],[]
714,[],[],20130405,Cramer's Lightning Round - Don't Go Down The Food Chain To Wendy's (4/4/13),20131005,[],[],[],[]
715,[],[],20130404,Cramer's Lightning Round - Radian Is Radiant (4/3/13),20131004,[],[],[],[]
716,['JBLU'],"['ICON', 'LCC', 'USG']",20130403,Cramer's Lightning Round - A Second Wind For US Airways (4/2/13),20131003,"[['2013-04-03', '25.000000'], ['2013-04-03', '24.600000']]","[['2013-10-03', '33.040001'], ['2013-10-03', '28.410000']]","[['2013-05-07', '29.299999'], ['2013-05-07', '26.410000']]","[['2013-04-11', '26.230000'], ['2013-04-11', '27.209999']]"
717,"['AMZN', 'GRMN', 'AMD', 'BIDU', 'FBC']","['CVS', 'GS', 'INTC', 'CVX']",20130328,Cramer's Lightning Round - Amazon Is A Wild Card (3/27/13),20130928,"[['2013-03-28', '50.935078'], ['2013-03-28', '138.487167'], ['2013-03-28', '18.915709'], ['2013-03-28', '99.523232']]","[['2013-09-27', '53.949677'], ['2013-09-27', '151.408997'], ['2013-09-27', '20.287138'], ['2013-09-27', '104.406715']]","[['2013-05-02', '54.819954'], ['2013-05-02', '135.212036'], ['2013-05-02', '20.881765'], ['2013-05-02', '102.220291']]","[['2013-04-08', '52.278141'], ['2013-04-08', '135.353226'], ['2013-04-08', '18.266132'], ['2013-04-08', '98.677261']]"
718,"['SAN', 'UNG', 'NUAN']","['MOV', 'COP', 'NLY', 'AGNC', 'CIM', 'TIF', 'APC']",20130327,Cramer's Lightning Round - Tiffany Is Getting Its Groove Back (3/26/13),20130927,"[['2013-03-27', '30.435524'], ['2013-03-27', '51.195019'], ['2013-03-27', '9.426153'], ['2013-03-27', '18.076771'], ['2013-03-27', '8.766476'], ['2013-03-27', '62.691132'], ['2013-03-27', '85.488914']]","[['2013-09-27', '40.455761'], ['2013-09-27', '60.873291'], ['2013-09-27', '7.438148'], ['2013-09-27', '13.783633'], ['2013-09-27', '8.509386'], ['2013-09-27', '71.072121'], ['2013-09-27', '91.316231']]","[['2013-05-01', '27.458246'], ['2013-05-01', '50.881294'], ['2013-05-01', '9.528481'], ['2013-05-01', '18.360353'], ['2013-05-01', '8.793532'], ['2013-05-01', '67.409912'], ['2013-05-01', '80.162697']]","[['2013-04-05', '29.334217'], ['2013-04-05', '49.634914'], ['2013-04-05', '9.582653'], ['2013-04-05', '18.232468'], ['2013-04-05', '8.577076'], ['2013-04-05', '64.697769'], ['2013-04-05', '81.896362']]"
719,[],[],20130324,Cramer's Lightning Round - I Didn't Get To The Promised Land With Energy Transfer Partners (3/22/13),20130924,[],[],[],[]
720,[],[],20130322,Cramer's Lightning Round - Cisco Is Terrific (3/21/13),20130922,[],[],[],[]
721,['WIN'],"['VZ', 'T', 'VALE', 'IP']",20130321,Cramer's Lightning Round - The Sellers Are Wrong About Oneok (3/20/13),20130921,"[['2013-03-21', '39.371185'], ['2013-03-21', '28.314480'], ['2013-03-21', '14.178000'], ['2013-03-21', '37.947227']]","[['2013-09-20', '39.348068'], ['2013-09-20', '27.541080'], ['2013-09-20', '13.818323'], ['2013-09-20', '40.935993']]","[['2013-04-25', '43.388054'], ['2013-04-25', '29.549295'], ['2013-04-25', '14.561335'], ['2013-04-25', '40.248085']]","[['2013-04-01', '39.710037'], ['2013-04-01', '29.176060'], ['2013-04-01', '14.011692'], ['2013-04-01', '39.173790']]"
722,"['DE', 'CXW', 'ETFC', 'CQB']","['TSN', 'CY', 'BLK', 'STC']",20130320,"Cramer's Lightning Round - Think Cypress, Not Cyprus (3/19/13)",20130920,"[['2013-03-20', '22.999662'], ['2013-03-20', '9.438677'], ['2013-03-20', '231.529709'], ['2013-03-20', '21.528694']]","[['2013-09-20', '29.067982'], ['2013-09-20', '9.756316'], ['2013-09-20', '252.282135'], ['2013-09-20', '28.942181']]","[['2013-04-24', '23.706461'], ['2013-04-24', '8.334926'], ['2013-04-24', '231.502853'], ['2013-04-24', '24.421988']]","[['2013-03-28', '23.706461'], ['2013-03-28', '9.248917'], ['2013-03-28', '229.900879'], ['2013-03-28', '23.543833']]"
723,"['WPRT', 'ANGI', 'CCC', 'WBMD']","['JNJ', 'INTC']",20130319,Cramer's Lightning Round - Johnson & Johnson Is Putting Its Past Behind It (3/18/13),20130919,"[['2013-03-19', '69.529472'], ['2013-03-19', '18.309437']]","[['2013-09-19', '80.612892'], ['2013-09-19', '21.108160']]","[['2013-04-23', '75.339767'], ['2013-04-23', '20.249512']]","[['2013-03-27', '71.654327'], ['2013-03-27', '18.907049']]"
724,"['SWKS', 'EXR', 'SQNM']","['CQP', 'LNG', 'WGO']",20130317,"Cramer's Lightning Round - Way To Go, Winnebago (3/15/13)",20130917,"[['2013-03-18', '19.288755'], ['2013-03-18', '24.750000'], ['2013-03-18', '20.428808']]","[['2013-09-17', '20.896185'], ['2013-09-17', '32.290001'], ['2013-09-17', '20.922901']]","[['2013-04-22', '20.258968'], ['2013-04-22', '26.820000'], ['2013-04-22', '16.390558']]","[['2013-03-26', '20.412970'], ['2013-03-26', '26.370001'], ['2013-03-26', '21.188950']]"
725,['ULTA'],"['HFC', 'ALJ', 'VLO', 'HON', 'TDG', 'PPG']",20130315,Cramer's Lightning Round - I Like The Refiners (3/14/13),20130915,"[['2013-03-15', '41.990131'], ['2013-03-15', '35.239197'], ['2013-03-15', '66.589294'], ['2013-03-15', '95.707626'], ['2013-03-15', '65.808960']]","[['2013-09-13', '34.529026'], ['2013-09-13', '30.921371'], ['2013-09-13', '76.966637'], ['2013-09-13', '105.040611'], ['2013-09-13', '76.245789']]","[['2013-04-19', '39.617226'], ['2013-04-19', '31.298920'], ['2013-04-19', '67.241951'], ['2013-04-19', '92.126976'], ['2013-04-19', '65.944016']]","[['2013-03-25', '40.014027'], ['2013-03-25', '35.318958'], ['2013-03-25', '67.858360'], ['2013-03-25', '93.971176'], ['2013-03-25', '62.357830']]"
726,"['JCP', 'PCRX', 'MU']","['CVS', 'S', 'CMI']",20130314,Cramer's Lightning Round - CVS Caremark And The Power Of Positive Thinking (3/13/13),20130914,"[['2013-03-14', '49.332630'], ['2013-03-14', '5.860000'], ['2013-03-14', '104.378624']]","[['2013-09-13', '55.909782'], ['2013-09-13', '6.720000'], ['2013-09-13', '120.083344']]","[['2013-04-18', '52.676437'], ['2013-04-18', '7.190000'], ['2013-04-18', '94.357269']]","[['2013-03-22', '51.129589'], ['2013-03-22', '6.140000'], ['2013-03-22', '101.014435']]"
727,['DMND'],"['BIIB', 'KSU', 'CELG', 'SPF', 'ORLY', 'BMRN']",20130313,Cramer's Lightning Round - Stay Away From The Nuts At Diamond (3/12/13),20130913,"[['2013-03-13', '176.149994'], ['2013-03-13', '101.204689'], ['2013-03-13', '56.535000'], ['2013-03-13', '104.300003'], ['2013-03-13', '61.470001']]","[['2013-09-13', '234.710007'], ['2013-09-13', '104.717049'], ['2013-09-13', '74.739998'], ['2013-09-13', '125.830002'], ['2013-09-13', '70.769997']]","[['2013-04-17', '204.080002'], ['2013-04-17', '98.102913'], ['2013-04-17', '60.669998'], ['2013-04-17', '98.669998'], ['2013-04-17', '63.680000']]","[['2013-03-21', '176.550003'], ['2013-03-21', '100.798050'], ['2013-03-21', '56.014999'], ['2013-03-21', '102.769997'], ['2013-03-21', '59.849998']]"
728,"['GRPN', 'ISRG']","['ADM', 'PBI']",20130312,Cramer's Lightning Round - Groupon Probably Has A Business (3/11/13),20130912,"[['2013-03-12', '29.037748'], ['2013-03-12', '12.239718']]","[['2013-09-12', '32.445644'], ['2013-09-12', '14.478584']]","[['2013-04-16', '28.698854'], ['2013-04-16', '12.248069']]","[['2013-03-20', '29.439062'], ['2013-03-20', '12.690568']]"
729,"['CAB', 'RTK', 'NG', 'CHK']",['OAK'],20130310,Cramer's Lightning Round - Too Many Moving Parts In Cabela's (3/8/13),20130910,"[['2013-03-11', '39.017784']]","[['2013-09-10', '41.177029']]","[['2013-04-15', '38.242138']]","[['2013-03-19', '39.139458']]"
730,[],"['SLRC', 'EIX']",20130308,Cramer's Lightning Round - Speculate On Cubist (3/7/13),20130908,"[['2013-03-08', '16.611908'], ['2013-03-08', '44.495926']]","[['2013-09-06', '15.598461'], ['2013-09-06', '40.068676']]","[['2013-04-12', '15.967160'], ['2013-04-12', '45.880672']]","[['2013-03-18', '16.490902'], ['2013-03-18', '44.302925']]"
731,"['MHR', 'MT', 'NUE', 'FDML']","['VLO', 'CKP', 'FBHS']",20130307,Cramer's Lightning Round - Magnum Hunter Requires Anger Management (3/6/13),20130907,"[['2013-03-07', '37.097664'], ['2013-03-07', '34.108067']]","[['2013-09-06', '32.429951'], ['2013-09-06', '36.179440']]","[['2013-04-11', '32.910130'], ['2013-04-11', '34.422043']]","[['2013-03-15', '35.239197'], ['2013-03-15', '34.583786']]"
732,[],"['MTG', 'HPT', 'VALE', 'BMC', 'RDN']",20130306,Cramer's Lightning Round - MGIC Will Be Off To The Races (3/5/13),20130906,"[['2013-03-06', '5.610000'], ['2013-03-06', '19.267027'], ['2013-03-06', '15.741326'], ['2013-03-06', '9.893703']]","[['2013-09-06', '7.060000'], ['2013-09-06', '20.413395'], ['2013-09-06', '13.340062'], ['2013-09-06', '13.436890']]","[['2013-04-10', '5.280000'], ['2013-04-10', '20.415098'], ['2013-04-10', '14.776720'], ['2013-04-10', '11.228805']]","[['2013-03-14', '4.950000'], ['2013-03-14', '19.767471'], ['2013-03-14', '14.635357'], ['2013-03-14', '10.342055']]"
733,"['TWI', 'LVLT']","['AWK', 'LCC']",20130305,Cramer's Lightning Round - Crash Of The Titan (3/4/13),20130905,"[['2013-03-05', '36.193447']]","[['2013-09-05', '35.847210']]","[['2013-04-09', '37.452663']]","[['2013-03-13', '36.103504']]"
734,"['EGHT', 'DF', 'FOSL']","['K', 'EPD', 'CSCO', 'KORS', 'GIS', 'EWW']",20130303,Cramer's Lightning Round - A Lion's Share For Lions Gate (3/1/13),20130903,"[['2013-03-04', '53.578991'], ['2013-03-04', '22.818857'], ['2013-03-04', '17.795187'], ['2013-03-04', '59.270000'], ['2013-03-04', '40.023106'], ['2013-03-04', '65.635414']]","[['2013-09-03', '54.094463'], ['2013-09-03', '23.866417'], ['2013-09-03', '20.451841'], ['2013-09-03', '74.430000'], ['2013-09-03', '43.006229'], ['2013-09-03', '57.197815']]","[['2013-04-08', '56.141659'], ['2013-04-08', '24.204716'], ['2013-04-08', '17.791998'], ['2013-04-08', '56.299999'], ['2013-04-08', '42.247849'], ['2013-04-08', '68.473114']]","[['2013-03-12', '54.175774'], ['2013-03-12', '22.683455'], ['2013-03-12', '18.618881'], ['2013-03-12', '56.279999'], ['2013-03-12', '39.868019'], ['2013-03-12', '67.524155']]"
735,['CWH'],"['NOV', 'HAIN', 'SDRL', 'ARII', 'TRN', 'SLB']",20130301,"Cramer's Lightning Round - No Hain, No Gain (2/28/13)",20130901,"[['2013-03-01', '54.650772'], ['2013-03-01', '27.469999'], ['2013-03-01', '32.061604'], ['2013-03-01', '37.111794'], ['2013-03-01', '19.941139'], ['2013-03-01', '69.808876']]","[['2013-08-30', '60.987484'], ['2013-08-30', '40.889999'], ['2013-08-30', '40.960995'], ['2013-08-30', '30.687824'], ['2013-08-30', '19.765570'], ['2013-08-30', '73.369751']]","[['2013-04-05', '55.295731'], ['2013-04-05', '30.045000'], ['2013-04-05', '31.212406'], ['2013-04-05', '35.110905'], ['2013-04-05', '19.354910'], ['2013-04-05', '66.850716']]","[['2013-03-11', '55.238411'], ['2013-03-11', '28.290001'], ['2013-03-11', '32.217583'], ['2013-03-11', '39.141209'], ['2013-03-11', '20.853058'], ['2013-03-11', '69.934769']]"
736,"['PSX', 'BIDU', 'PGH', 'SFL', 'NAT', 'HTSI', 'AAPL']","['APU', 'QCOM', 'FB']",20130228,Cramer's Lightning Round - Qualcomm Is Mister 4G (2/27/13),20130828,"[['2013-02-28', '30.549854'], ['2013-02-28', '57.254810'], ['2013-02-28', '27.250000']]","[['2013-08-28', '31.236280'], ['2013-08-28', '58.594673'], ['2013-08-28', '40.549999']]","[['2013-04-04', '31.004360'], ['2013-04-04', '57.615009'], ['2013-04-04', '27.070000']]","[['2013-03-08', '30.626772'], ['2013-03-08', '58.350407'], ['2013-03-08', '27.959999']]"
737,['AA'],"['HMST', 'MCD', 'RDS.A']",20130227,Cramer's Lightning Round - Alcoa Can Wait (2/26/13),20130827,"[['2013-02-27', '25.070658'], ['2013-02-27', '83.075287']]","[['2013-08-27', '19.348034'], ['2013-08-27', '82.947746']]","[['2013-04-03', '21.422058'], ['2013-04-03', '86.129982']]","[['2013-03-07', '24.904366'], ['2013-03-07', '84.255493']]"
738,['AFL'],"['AL', 'MTW', 'LUV', 'AIG', 'MET', 'PFG', 'TRV', 'LCC', 'HEES']",20130226,Cramer's Lightning Round - Cramer Gets Behind Airlines (2/25/13),20130826,"[['2013-02-26', '25.585678'], ['2013-02-26', '4.055902'], ['2013-02-26', '10.974473'], ['2013-02-26', '35.334591'], ['2013-02-26', '26.970510'], ['2013-02-26', '26.916706'], ['2013-02-26', '71.723564'], ['2013-02-26', '15.722048']]","[['2013-08-26', '26.031921'], ['2013-08-26', '4.827284'], ['2013-08-26', '12.857985'], ['2013-08-26', '44.400280'], ['2013-08-26', '37.534874'], ['2013-08-26', '37.265335'], ['2013-08-26', '72.644638'], ['2013-08-26', '20.050453']]","[['2013-04-02', '27.862957'], ['2013-04-02', '4.304086'], ['2013-04-02', '12.216843'], ['2013-04-02', '36.562737'], ['2013-04-02', '29.523659'], ['2013-04-02', '29.824154'], ['2013-04-02', '76.069046'], ['2013-04-02', '15.772573']]","[['2013-03-06', '27.936478'], ['2013-03-06', '4.261604'], ['2013-03-06', '11.609853'], ['2013-03-06', '36.047100'], ['2013-03-06', '28.270296'], ['2013-03-06', '28.435352'], ['2013-03-06', '73.059097'], ['2013-03-06', '16.783096']]"
739,"['FTR', 'VG', 'CTL', 'PBT']","['BAC', 'VZ', 'WTR', 'BMRN', 'VHC']",20130225,Cramer's Lightning Round - Aqua America Is Starting To Roll (2/22/13),20130825,"[['2013-02-25', '10.499090'], ['2013-02-25', '36.886288'], ['2013-02-25', '20.493898'], ['2013-02-25', '55.189999'], ['2013-02-25', '34.360001']]","[['2013-08-23', '13.891566'], ['2013-08-23', '39.208065'], ['2013-08-23', '22.914534'], ['2013-08-23', '64.739998'], ['2013-08-23', '21.389999']]","[['2013-04-01', '11.575583'], ['2013-04-01', '39.710037'], ['2013-04-01', '22.435125'], ['2013-04-01', '61.590000'], ['2013-04-01', '17.520000']]","[['2013-03-05', '11.003950'], ['2013-03-05', '38.475651'], ['2013-03-05', '21.460928'], ['2013-03-05', '60.630001'], ['2013-03-05', '35.240002']]"
740,"['HL', 'ATW', 'EXC']","['CLB', 'PCLN', 'AAP', 'OPK', 'ZTS', 'COH', 'AWAY', 'LCC']",20130221,Cramer's Lightning Round - Zoetis Is Better Than The Average IPO (2/20/13),20130821,"[['2013-02-21', '120.717804'], ['2013-02-21', '683.330017'], ['2013-02-21', '78.343300'], ['2013-02-21', '6.680000'], ['2013-02-21', '31.399630'], ['2013-02-21', '40.685719']]","[['2013-08-21', '133.151215'], ['2013-08-21', '940.200012'], ['2013-08-21', '81.108002'], ['2013-08-21', '8.420000'], ['2013-08-21', '28.906092'], ['2013-08-21', '45.240265']]","[['2013-03-27', '124.172333'], ['2013-03-27', '694.859985'], ['2013-03-27', '80.960594'], ['2013-03-27', '7.620000'], ['2013-03-27', '31.573212'], ['2013-03-27', '42.641277']]","[['2013-03-01', '122.051285'], ['2013-03-01', '695.619995'], ['2013-03-01', '75.677689'], ['2013-03-01', '6.990000'], ['2013-03-01', '33.366924'], ['2013-03-01', '41.198345']]"
741,"['IMAX', 'GMCR']","['RLGY', 'CSCO', 'NLY', 'BLX', 'HON', 'BBVA']",20130220,Cramer's Lightning Round - Not A Great Time To Sell Honeywell (2/19/13),20130820,"[['2013-02-20', '43.398109'], ['2013-02-20', '18.112654'], ['2013-02-20', '8.799770'], ['2013-02-20', '18.529873'], ['2013-02-20', '63.398514'], ['2013-02-20', '7.912029']]","[['2013-08-20', '42.945435'], ['2013-08-20', '21.183506'], ['2013-08-20', '6.849508'], ['2013-08-20', '19.505873'], ['2013-08-20', '74.833000'], ['2013-08-20', '8.114441']]","[['2013-03-26', '48.170929'], ['2013-03-26', '17.889566'], ['2013-03-26', '9.414116'], ['2013-03-26', '19.363712'], ['2013-03-26', '68.420364'], ['2013-03-26', '6.955630']]","[['2013-02-28', '44.136177'], ['2013-02-28', '17.898149'], ['2013-02-28', '9.063062'], ['2013-02-28', '18.668846'], ['2013-02-28', '63.543564'], ['2013-02-28', '7.674905']]"
