,bearish,bullish,date,title,enddate,yqdopen,yqdclose
71,"['NVDA', 'RAI', 'MO', 'PM']","['ICE', 'MU']",20170309,Hot Money Has To Get Out Of Nvidia - Cramer's Lightning Round (3/8/17),20170909,"['59.495159', '25.150000']","['65.142654', '32.450001']"
72,"['CHK', 'EXAS', 'FRAC', 'SSYS']","['ARNC', 'KMI', 'THS', 'MMP', 'TGTX']",20170308,TreeHouse Foods Is A Good Buy - Cramer's Lightning Round (3/7/17),20170908,"['26.726622', '21.032734', '85.139999', '74.664902', '10.150000']","['24.420000', '19.139999', '65.739998', '69.339996', '12.200000']"
73,"['CAB', 'WRD']","['T', 'ROP']",20170307,AT&T Is A Buy - Cramer's Lightning Round (3/6/17),20170907,"['40.346989', '210.777328']","['35.158489', '229.637619']"
74,"['CBI', 'MTZ', 'EME', 'MBLY', 'HZNP', 'BA']",['AMD'],20170306,Buy AMD At $12.25 - Cramer's Lightning Round (3/3/17),20170906,['13.040000'],['12.860000']
75,"['PRU', 'CB', 'ZTO', 'XPO', 'FDX']","['ASX', 'NDSN', 'GSK']",20170303,Don't Buy ZTO Express - Cramer's Lightning Round (3/2/17),20170903,"['5.908052', '124.452843', '40.988609']","['6.130000', '110.269997', '40.200001']"
76,"['OPK', 'FEYE', 'CSCO']","['KBR', 'TTC']",20170302,Buy Cisco Instead Of FireEye - Cramer's Lightning Round (3/1/17),20170902,"['14.780700', '59.893696']","['16.355106', '60.848042']"
77,"['SWN', 'OXY', 'RIG', 'SLB', 'NCLH', 'CCL', 'CDE', 'GOLD', 'TOO', 'FGP', 'OLN']","['NTAP', 'PENN']",20170301,NetApp Can Go Higher - Cramer's Lightning Round (2/28/17),20170901,"['42.403606', '14.630000']","['38.476139', '22.410000']"
78,"['FSLR', 'WB', 'SLCA', 'QCOM', 'NXPI', 'ARRY', 'CELG', 'ESPR']","['TXN', 'PYPL', 'CHRW']",20170228,Texas Instruments Is Inexpensive - Cramer's Lightning Round (2/27/17),20170828,"['75.686348', '42.000000', '78.886246']","['80.760002', '60.529999', '70.603271']"
79,['SUN'],"['PANW', 'SKT', 'ED', 'CSCO']",20170227,Cisco Is A Strong Play In Cybersecurity - Cramer's Lightning Round (2/24/17),20170827,"['153.949997', '33.865570', '75.178413', '33.361462']","['128.630005', '24.280001', '84.480003', '31.170647']"
80,"['AGX', 'GTN', 'NXST', 'K', 'THS', 'BBY', 'EXAS', 'TAST', 'SNCR']","['TMUS', 'VZ', 'BOX']",20170224,Don't Buy Kellogg - Cramer's Lightning Round (2/23/17),20170824,"['62.209999', '48.770973', '17.930000']","['63.970001', '47.737309', '19.740000']"
81,"['HBAN', 'KEY', 'EXEL', 'SAM', 'GILD']","['FCX', 'HCA', 'AMD', 'WDC', 'MET', 'SWKS', 'MU', 'INCY']",20170223,Incyte Is Undervalued - Cramer's Lightning Round (2/22/17),20170823,"['13.480000', '86.449997', '14.320000', '73.308044', '46.942146', '94.751106', '23.480000', '121.949997']","['15.290000', '78.900002', '12.480000', '87.812309', '47.049999', '102.709999', '30.450001', '123.650002']"
82,"['HLF', 'RAD', 'WBA', 'ABX', 'GOLD', 'BUD', 'STZ', 'GEO']","['POT', 'PFG', 'MOS', 'SHLX', 'AGCO', 'MU', 'MMP']",20170217,Micron Technology Is A Cheap Stock - Cramer's Lightning Round (2/16/17),20170817,"['18.401548', '60.773029', '32.826473', '32.333996', '63.723202', '23.350000', '78.246864']","['17.190466', '62.457973', '19.945066', '26.200001', '67.839996', '29.620001', '64.849998']"
83,"['EMES', 'SLB', 'SSW']","['HSY', 'NVDA', 'ACN', 'CQP', 'INO']",20170216,Hershey Is A Long-Term Buy - Cramer's Lightning Round (2/15/17),20170816,"['105.802124', '106.907997', '118.334320', '31.228373', '7.000000']","['105.394470', '165.004715', '128.782684', '28.160000', '5.520000']"
84,['NOK'],"['AQN', 'NUE', 'CBG', 'ENB', 'AKS']",20170215,Buy Nucor - Cramer's Lightning Round (2/14/17),20170815,"['8.735647', '62.618534', '35.439999', '41.799633', '8.490000']","['10.373885', '55.192272', '36.130001', '39.230000', '5.240000']"
85,"['UBNT', 'LGF.A', 'DUK', 'MCY', 'TRV', 'ALL', 'IMMU', 'CELG', 'SUN']","['CHK', 'SLB', 'PCLN', 'ZLTQ']",20170214,Buy Schlumberger At $81 - Cramer's Lightning Round (2/13/17),20170814,"['6.440000', '81.227203', '1637.290039']","['4.070000', '63.446537', '1873.949951']"
86,"['ARNC', 'HIMX']","['BMY', 'X', 'OLED']",20170213,United States Steel Is Ready To Run - Cramer's Lightning Round (2/10/17),20170813,"['50.988163', '39.533493', '64.745316']","['56.388252', '23.160000', '111.424736']"
87,"['ADM', 'AGCO', 'KNOP', 'NAK']","['REVG', 'SAIC', 'ACC', 'SHOP', 'THO']",20170210,Dow Chemical Is Inexpensive - Cramer's Lightning Round (2/9/17),20170810,"['27.899645', '82.336212', '48.319687', '55.220001', '108.379868']","['25.209999', '68.953453', '46.490002', '88.400002', '101.699997']"
88,"['ELY', 'AUO', 'CSCO', 'PFE', 'AGN']","['BLK', 'PNRA', 'PLAY', 'MIC']",20170209,BlackRock Keeps Making Money For Investors - Cramer's Lightning Round (2/8/17),20170809,"['371.646942', '56.790001', '75.411751']","['428.749054', '61.040001', '74.099998']"
89,"['ESRX', 'UNH']","['NYCB', 'MB', 'FI', 'SAN', 'AMGN', 'BCS']",20170208,Buy Amgen On Weakness - Cramer's Lightning Round (2/7/17),20170808,"['14.322523', '25.150000', '12.075022', '5.186863', '164.659515', '11.115607']","['12.670000', '24.400000', '6.977265', '6.774986', '172.526474', '10.768000']"
90,"['AKS', 'NUE', 'X', 'RAD', 'WBA', 'GLW', 'AAPL']","['AAL', 'EXEL', 'BOX']",20170207,Don't Buy Rite Aid - Cramer's Lightning Round (2/6/17),20170807,"['44.881878', '20.570000', '17.730000']","['50.477612', '26.690001', '18.840000']"
91,"['EMR', 'ITW', 'NGD', 'GOLD', 'CLF']","['MEI', 'KTOS', 'CRZO']",20170206,Book Profits On Cliffs Natural Resources - Cramer's Lightning Round (2/3/17),20170806,"['41.138210', '8.850000', '34.470001']","['38.871315', '11.070000', '14.790000']"
92,['CRC'],"['TWI', 'XLNX', 'D']",20170203,Dominion Resources Is A Buy - Cramer's Lightning Round (2/2/17),20170803,"['12.901230', '57.260551', '69.679253']","['10.574608', '62.555099', '77.662315']"
93,"['FEYE', 'CHKP', 'CYBR', 'CARA']","['ACM', 'SN']",20170202,Sanchez Energy Is A Buy - Cramer's Lightning Round (2/1/17),20170802,"['36.549999', '13.180000']","['31.580000', '4.880000']"
94,"['MOH', 'UNH', 'FMX']","['CCL', 'RCL', 'TECK']",20170201,Buy UnitedHealthcare - Cramer's Lightning Round (1/31/17),20170801,"['54.445755', '92.565735', '25.205757']","['67.084747', '116.263100', '21.529728']"
95,"['X', 'NUE']","['WY', 'AGU', 'CSCO', 'POT', 'MOS', 'AGCO']",20170131,Cisco Is A Buy - Cramer's Lightning Round (1/30/17),20170731,"['30.467043', '100.176994', '29.914303', '18.283592', '30.656937', '62.402920']","['32.711960', '99.288406', '31.180561', '17.807253', '23.953924', '71.995804']"
96,"['ABG', 'AAP', 'TEVA', 'STM', 'MU']","['AGN', 'GLOP']",20170130,Allergan Is A Cheap Stock - Cramer's Lightning Round (1/27/17),20170730,"['209.983749', '20.874405']","['252.243759', '24.477459']"
97,"['BP', 'CVX', 'ABC']","['COHR', 'MTW', 'PI']",20170127,AmerisourceBergen Is Not A Trump Stock - Cramer's Lightning Round (1/26/17),20170727,"['156.690002', '7.500000', '35.400002']","['269.670013', '5.790000', '50.330002']"
98,"['FIT', 'DLNG']",['XLNX'],20170124,No Fan Of Fitbit - Cramer's Lightning Round (1/23/17),20170724,['57.949013'],['63.907642']
99,['ARRY'],"['TTWO', 'ATVI']",20170123,Take-Two Interactive Is A Buy - Cramer's Lightning Round (1/20/17),20170723,"['52.160000', '38.295536']","['79.250000', '60.930000']"
100,"['CVS', 'LNG', 'SN', 'SLB', 'APA', 'COT', 'KO', 'PEP']","['PNC', 'JPM', 'BAC', 'C', 'WFC']",20170120,Buy PepsiCo At $99 - Cramer's Lightning Round (1/19/17),20170720,"['115.463470', '82.256065', '22.382818', '55.543655', '53.925686']","['126.238129', '90.669991', '23.818169', '66.054108', '54.484230']"
101,"['AKAO', 'CMRE', 'GILD', 'PSEC', 'PRGO']","['IDT', 'EPD', 'HOG', 'BBT']",20170119,Harley-Davidson Is A Long-Term Buy - Cramer's Lightning Round (1/18/17),20170719,"['18.290430', '26.475752', '57.017834', '44.380943']","['14.967307', '27.308022', '48.394295', '44.453869']"
102,"['SDRL', 'HIIQ', 'EXEL']","['HD', 'MPC', 'HUN']",20170118,Long Home Depot - Cramer's Lightning Round (1/17/17),20170718,"['133.767731', '47.848278', '19.797794']","['151.275406', '54.409527', '26.797546']"
103,"['SRPT', 'CTL', 'CXW', 'ETP', 'MMP']",['NXPI'],20170116,Yahoo Is Done - Cramer's Lightning Round (1/13/17),20170716,['97.620003'],['109.400002']
104,"['VC', 'SAN', 'BCS', 'PLD', 'KMI']","['MAT', 'HAS', 'AMT']",20170113,Buy American Tower Under $100 - Cramer's Lightning Round (1/12/17),20170713,"['28.344015', '82.429031', '101.918335']","['20.545132', '111.142738', '133.482941']"
105,"['WR', 'D', 'AEP', 'HYH']","['SAP', 'FCX', 'ACN', 'WEC', 'BRK.B', 'MDR', 'MTD']",20170112,Berkshire Hathaway B Shares Are Undervalued - Cramer's Lightning Round (1/11/17),20170712,"['88.239227', '15.270000', '113.491936', '57.211674', '7.420000', '421.920013']","['104.839996', '12.270000', '124.266434', '60.875004', '7.420000', '602.349976']"
106,"['ESV', 'SLB', 'AA', 'ARNC', 'SWKS', 'AAPL', 'TEVA', 'WTW', 'KIM', 'AMZN', 'FRT', 'WOR', 'NUE', 'TWOU', 'USG', 'HD']",['CWH'],20170111,Don't Buy Deepwater Drilling Stocks - Cramer's Lightning Round (1/10/17),20170711,['31.762400'],['29.425028']
107,"['BAS', 'SLB', 'CC', 'IONS']","['STAG', 'EQT', 'HRL', 'GWPH', 'MMP']",20170110,Hormel Foods Is A Long-Term Buy - Cramer's Lightning Round (1/9/17),20170710,"['22.864286', '63.246006', '34.398033', '123.809998', '71.231178']","['26.647074', '59.871380', '32.479843', '100.099998', '68.673485']"
108,"['FGP', 'O', 'SGYP', 'CAR', 'HUBS', 'CRM']","['ADNT', 'WDC', 'TWLO', 'T']",20170109,Western Digital Will Hit $85 - Cramer's Lightning Round (1/6/17),20170709,"['55.252968', '70.624969', '28.100000', '39.306522']","['67.161430', '86.450035', '28.430000', '36.521378']"
109,"['SLCA', 'SLB']","['VOD', 'ECA', 'ASIX', 'ARNC']",20170106,Vodafone Is A Buy - Cramer's Lightning Round (1/5/17),20170706,"['25.252359', '12.891718', '22.320000', '20.481138']","['28.570000', '8.507459', '32.349998', '22.865211']"
110,['CCI'],"['COST', 'AMD', 'MRK', 'SON', 'KMB']",20170105,AMD Can Go Higher - Cramer's Lightning Round (1/4/17),20170705,"['155.212601', '11.240000', '58.818287', '52.534378', '113.391655']","['157.516373', '13.190000', '63.699268', '51.180805', '127.622688']"
111,"['SFM', 'BWLD']","['SIRI', 'CG', 'MDT', 'TXMD', 'AAPL']",20170104,Apple Should Buy Sirius XM - Cramer's Lightning Round (1/3/17),20170704,"['4.503163', '15.482500', '70.108246', '6.420000', '114.594292']","['5.370393', '19.153334', '87.827888', '5.450000', '142.938690']"
112,"['GILD', 'CERN', 'UNH', 'CX', 'USCR', 'CXW']","['BLUE', 'AGN', 'SWN', 'GSK', 'ASH']",20161223,Gilead Sciences Has No Growth Left - Cramer's Lightning Round (12/22/16),20170623,"['64.650002', '197.307632', '11.010000', '36.917454', '53.095787']","['112.000000', '245.713608', '5.790000', '43.742859', '67.001457']"
113,"['AKS', 'NUE', 'CST', 'MPC', 'SNH', 'FRT', 'RIO', 'FCX']","['WR', 'MAT', 'EOG']",20161222,Mattel Knows Its Customers - Cramer's Lightning Round (12/21/16),20170622,"['54.980499', '27.211023', '102.420311']","['52.688744', '20.118965', '87.375153']"
